Остатки по КТ по размерам;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Артикул продавца;Название;Артикул WB;Предмет;Бренд;Размер;Регион;Склад;Доступность;Заказали, шт;Заказали на сумму, ₽;Выкупили, шт;Выкупили на сумму, ₽;Процент выкупа;Заказы в среднем за февраль, шт;Заказы в среднем за март, шт;Общее среднее кол-во заказов, шт;Остатки на текущий день, шт;Стоимость остатков на текущий день, ₽;Остатки впервые зафиксированы на складе WB;Оборачиваемость текущих остатков;Оборачиваемость средних остатков;В пути к покупателю, шт;В пути от покупателя, шт;Текущая цена с учетом скидок, ₽;Время отсутствия товара на складе;Упущенные заказы, шт;Сумма упущенных заказов, ₽;Упущенные выкупы, шт;Сумма упущенных выкупов, ₽
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Южный + Северо-Кавказский;Крыловская;Дефицит;0;0;0;0;0;0;0;0;0;0;> 180 дней назад;>999д;0ч;0;1;614;Отсутствовал весь период;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Дальневосточный + Сибирский;Новосибирск Пасечная;Дефицит;0;0;0;0;0;0;0;0;0;0;> 180 дней назад;0ч;0ч;1;0;614;Отсутствовал весь период;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Дальневосточный + Сибирский;Омск;Дефицит;0;0;0;0;0;0;0;0;0;0;> 180 дней назад;0ч;0ч;1;0;614;Отсутствовал весь период;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Приволжский;Оренбург Центральная;Дефицит;0;0;0;0;0;0;0;0;0;0;> 180 дней назад;>999д;0ч;1;2;614;Отсутствовал весь период;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Центральный;Остальные;Дефицит;0;0;0;0;0;0;0;0;0;0;> 180 дней назад;>999д;0ч;401;26;614;Отсутствовал весь период;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Центральный;Пушкино;Дефицит;0;0;0;0;0;0;0;0;0;0;> 180 дней назад;0ч;0ч;4;0;614;Отсутствовал весь период;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Центральный;Радумля 1;Дефицит;0;0;0;0;0;0;0;0;0;0;> 180 дней назад;0ч;0ч;3;0;614;Отсутствовал весь период;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Дальневосточный + Сибирский;СЦ Барнаул;Дефицит;0;0;0;0;0;0;0;0;0;0;> 180 дней назад;>999д;0ч;0;1;614;Отсутствовал весь период;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Беларусь;СЦ Брест;Дефицит;0;0;0;0;0;0;0;0;0;0;> 180 дней назад;0ч;0ч;0;0;614;Отсутствовал весь период;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Беларусь;СЦ Гродно;Дефицит;0;0;0;0;0;0;0;0;0;0;> 180 дней назад;0ч;0ч;1;0;614;Отсутствовал весь период;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Армения;СЦ Ереван Арташисян 106;Дефицит;0;0;0;0;0;0;0;0;0;0;> 180 дней назад;>999д;0ч;0;2;614;Отсутствовал весь период;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Приволжский;СЦ Ижевск;Дефицит;0;0;0;0;0;0;0;0;0;0;> 180 дней назад;0ч;0ч;1;0;614;Отсутствовал весь период;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Приволжский;СЦ Кузнецк;Дефицит;0;0;0;0;0;0;0;0;0;0;> 180 дней назад;0ч;0ч;1;0;614;Отсутствовал весь период;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Приволжский;СЦ Нижний Новгород Ларина;Дефицит;0;0;0;0;0;0;0;0;0;0;> 180 дней назад;0ч;0ч;1;0;614;Отсутствовал весь период;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Дальневосточный + Сибирский;СЦ Хабаровск;Дефицит;0;0;0;0;0;0;0;0;0;0;> 180 дней назад;0ч;0ч;1;0;614;Отсутствовал весь период;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Северо-Западный;СЦ Шушары;Дефицит;0;0;0;0;0;0;0;0;0;0;> 180 дней назад;>999д;0ч;1;3;614;Отсутствовал весь период;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Центральный;Смоленск 2;Дефицит;0;0;0;0;0;0;0;0;0;0;> 180 дней назад;0ч;0ч;1;0;614;Отсутствовал весь период;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Центральный;Софьино;Дефицит;0;0;0;0;0;0;0;0;0;0;> 180 дней назад;0ч;0ч;3;0;614;Отсутствовал весь период;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Уральский;Сургут;Дефицит;0;0;0;0;0;0;0;0;0;0;> 180 дней назад;>999д;0ч;1;1;614;Отсутствовал весь период;0;0;0;0
